subject_id,n_windows,accuracy,sensitivity,specificity,precision,f1_score,roc_auc,pr_auc,tn,fp,fn,tp
22,252,71.82539682539682,91.26984126984127,52.38095238095239,65.71428571428571,76.41196013289037,0.8807634164777023,0.9098557670385254,66,60,11,115
23,252,54.36507936507936,84.92063492063492,23.809523809523807,52.70935960591133,65.04559270516718,0.7119551524313429,0.7633792990337998,30,96,19,107
24,252,50.0,100.0,0.0,50.0,66.66666666666666,0.6046863189720332,0.5980314737949377,0,126,0,126
25,252,50.0,0.0,100.0,0.0,0.0,0.26751070798689847,0.37288660972586846,126,0,126,0
26,252,50.0,0.0,100.0,0.0,0.0,0.21491559586797682,0.35137212771228415,126,0,126,0
28,252,50.0,0.0,100.0,0.0,0.0,0.20238095238095236,0.34613181843618684,126,0,126,0
30,252,50.0,0.0,100.0,0.0,0.0,0.477891156462585,0.4600848776711501,126,0,126,0
31,252,57.14285714285714,93.65079365079364,20.634920634920633,54.12844036697248,68.6046511627907,0.6449357520786092,0.6244702592250175,26,100,8,118
32,252,50.79365079365079,97.61904761904762,3.968253968253968,50.409836065573764,66.48648648648648,0.6701310153691107,0.6859625841504169,5,121,3,123
34,252,54.36507936507936,80.15873015873017,28.57142857142857,52.879581151832454,63.722397476340696,0.5200932224741749,0.5304644152044744,36,90,25,101
35,252,50.0,0.0,100.0,0.0,0.0,0.35764676240866716,0.39573828633355945,126,0,126,0
36,252,59.523809523809526,62.698412698412696,56.34920634920635,58.95522388059702,60.76923076923077,0.6807760141093475,0.7285631869266518,71,55,47,79
37,252,50.0,100.0,0.0,50.0,66.66666666666666,0.6160241874527589,0.610534962971251,0,126,0,126
38,252,50.0,0.0,100.0,0.0,0.0,0.3846686822877299,0.4227584758012172,126,0,126,0
39,252,56.74603174603175,71.42857142857143,42.06349206349206,55.21472392638037,62.28373702422145,0.6207482993197279,0.6421355351800095,53,73,36,90
40,252,50.0,99.20634920634922,0.7936507936507936,50.0,66.48936170212765,0.7540312421264802,0.7484794989878474,1,125,1,125
41,252,71.03174603174604,95.23809523809523,46.82539682539682,64.1711229946524,76.6773162939297,0.871000251952633,0.8883522257644472,59,67,6,120
42,252,51.587301587301596,94.44444444444444,8.73015873015873,50.85470085470085,66.11111111111111,0.7081758629377676,0.724123086467122,11,115,7,119
43,252,48.41269841269841,64.28571428571429,32.53968253968254,48.795180722891565,55.47945205479452,0.4885991433610481,0.5060946173772723,41,85,45,81
44,252,53.96825396825397,96.03174603174604,11.904761904761903,52.1551724137931,67.59776536312849,0.5621693121693122,0.5527331735101915,15,111,5,121
45,252,52.77777777777778,32.53968253968254,73.01587301587301,54.666666666666664,40.79601990049751,0.56859410430839,0.5488850860685622,92,34,85,41
46,252,69.44444444444444,57.14285714285714,81.74603174603175,75.78947368421053,65.15837104072398,0.785525321239607,0.746372070429672,103,23,54,72
47,252,67.46031746031747,58.730158730158735,76.19047619047619,71.15384615384616,64.34782608695652,0.7630385487528345,0.7712013841699962,96,30,52,74
48,252,85.31746031746032,92.85714285714286,77.77777777777779,80.6896551724138,86.34686346863468,0.9295792391030486,0.9122246293273077,98,28,9,117
49,252,50.79365079365079,100.0,1.5873015873015872,50.4,67.02127659574468,0.9364449483497103,0.9424405304792812,2,124,0,126
50,252,58.730158730158735,99.20634920634922,18.253968253968253,54.824561403508774,70.62146892655367,0.7475434618291761,0.7089723085132917,23,103,1,125
51,252,50.0,0.0,100.0,0.0,0.0,0.6617535903250188,0.6750149184552039,126,0,126,0
53,252,56.34920634920635,100.0,12.698412698412698,53.38983050847458,69.61325966850829,0.8211766187956665,0.8126811621103323,16,110,0,126
54,252,50.0,0.0,100.0,0.0,0.0,0.6346686822877299,0.6472710017729608,126,0,126,0
55,252,50.0,0.0,100.0,0.0,0.0,0.09926933736457547,0.3209868284675338,126,0,126,0
56,252,83.33333333333334,92.06349206349206,74.60317460317461,78.37837837837837,84.67153284671532,0.9317838246409675,0.9376382485160073,94,32,10,116
