test_subject,test_acc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_specificity
39,0.9285714285714286,0.8775510204081632,0.9340659340659339,1.0,0.8571428571428571,0.923076923076923,1.0
40,0.9285714285714286,1.0,0.9999999999999998,0.875,1.0,0.9333333333333333,0.8571428571428571
41,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
42,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
43,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
44,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
45,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
46,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
47,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
48,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
49,0.9285714285714286,0.9591836734693877,0.9682539682539681,1.0,0.8571428571428571,0.923076923076923,1.0
50,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
54,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
55,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
56,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
57,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
58,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
59,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
60,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
61,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
62,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
63,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
64,0.9285714285714286,0.8571428571428571,0.9285714285714284,1.0,0.8571428571428571,0.923076923076923,1.0
65,0.9285714285714286,0.9591836734693877,0.9682539682539681,1.0,0.8571428571428571,0.923076923076923,1.0
66,0.9285714285714286,0.8775510204081632,0.9340659340659339,1.0,0.8571428571428571,0.923076923076923,1.0
67,0.8571428571428571,0.979591836734694,0.982142857142857,1.0,0.7142857142857143,0.8333333333333333,1.0
68,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
69,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
70,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
